Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
67oBHPaoiXS9rifTrjaECn,"Loveyou","Unkind","j^p^n",2018-02-08,120000,44,sokux9999,2022-04-11T10:50:59Z,"lo-fi","EveryDejaVu",0.516,0.558,0,-9.653,1,0.434,0.00194,0.451,0.803,0.593,160.012,4
7H7NyZ3G075GqPx2evsfeb,"Chamber Of Reflection","Salad Days","Mac DeMarco",2014-04-01,231723,77,sokux9999,2022-12-20T23:21:21Z,"indie","Captured Tracks",0.538,0.557,11,-8.678,1,0.0914,0.262,0.914,0.102,0.506,131.03,4
1cwqP7Tyxu5z8XDYoPkNte,"Chandelier","Chandelier","Will Paquin",2020-09-25,127464,59,sokux9999,2022-12-20T23:31:08Z,"","Will Paquin Music",0.333,0.498,2,-9.121,0,0.0468,0.674,0.00000651,0.12,0.427,87.082,4
01TyFEZu6mHbffsVfxgrFn,"Show Me How","Show Me How","Men I Trust",2018-02-28,215110,14,sokux9999,2022-12-20T23:35:02Z,"bedroom pop,indie pop","Indie",0.791,0.267,5,-11.997,1,0.0415,0.674,0.534,0.102,0.544,165.99,4
6IZvVAP7VPPnsGX6bvgkqg,"PRIDE.","DAMN.","Kendrick Lamar",2017-04-14,275253,81,sokux9999,2022-12-20T23:36:14Z,"hip hop,west coast rap","Aftermath",0.665,0.535,4,-7.056,0,0.0572,0.0786,0.0000168,0.154,0.37,138.842,4
26kPTDeIh5pTcyMuD6IonN,"Bloom","Offering","j^p^n",2015-05-27,137406,50,sokux9999,2022-12-20T23:57:29Z,"lo-fi","EveryDejaVu",0.472,0.493,6,-10.607,1,0.417,0.874,0.000265,0.188,0.568,139.631,4
48MRnIDd36Zp5XxFgYfEHg,"Por Amor al Odio (Versión Jazz)","Donde Duele Inspira (Versión Jazz)","Rafael Lechowski,Glaç",2011-11-01,438706,42,sokux9999,2022-12-20T23:58:57Z,"hip hop latino","Rafael Lechowski",0.579,0.66,2,-7.394,0,0.0575,0.508,0.00000901,0.135,0.578,90.135,4
3NkIrWA31m4VO4Z9BW61yo,"Como el Sol 2011","Kase.O Jazz Magnetism","Kase.O",2011-12-05,283840,43,sokux9999,2022-12-20T23:59:06Z,"hip hop latino","EL PAN DE ALIYAH / RAP SOLO",0.812,0.579,2,-8.124,1,0.187,0.176,0,0.219,0.737,93.004,4
4wFASs8o9DQlnGXlK6Hgxw,"Boogaloo A.K.A. Tarantula","Kase.O Jazz Magnetism","Kase.O",2011-12-05,221786,42,sokux9999,2022-12-20T23:59:17Z,"hip hop latino","EL PAN DE ALIYAH / RAP SOLO",0.815,0.538,5,-11.888,0,0.0918,0.676,0,0.156,0.716,111.673,4
0yTGQpPOgcsS8Xqp5bQO58,"The Loser","The Loser","Verzache",2016-07-29,131586,58,sokux9999,2022-12-21T00:00:54Z,"","Verzache - The Loser",0.748,0.297,1,-10.613,1,0.132,0.485,0.27,0.138,0.114,123.983,4
72j1jY006wieT3AdwLdLFl,"ON TOP","ON TOP","The Girl Next Door,WMD",2018-02-04,131684,50,sokux9999,2022-12-21T00:06:08Z,"","The Girl Next Door",0.636,0.455,11,-9.152,1,0.0533,0.0918,0.966,0.101,0.274,147.658,4
1VGzxJnVQND7Cg5H5wGj14,"YEAH RIGHT","BALLADS 1","Joji",2018-10-26,174357,4,sokux9999,2022-12-21T00:06:17Z,"","88rising Music/Warner Records",0.672,0.588,1,-9.573,1,0.133,0.619,0.241,0.0992,0.204,169.033,4
0rKtyWc8bvkriBthvHKY8d,"SLOW DANCING IN THE DARK","BALLADS 1","Joji",2018-10-26,209273,18,sokux9999,2022-12-21T00:06:25Z,"","88rising Music/Warner Records",0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,4
0qUcpOOna3kkrwfqky85e1,"Eyes Blue Like The Atlantic (feat. Subvrbs)","Eyes Blue Like The Atlantic (feat. Subvrbs)","Sista Prod,Subvrbs",2020-07-20,154599,58,sokux9999,2022-12-21T00:06:34Z,"","Sista Prod/Atlantic",0.768,0.339,0,-13.169,1,0.777,0.608,0.000956,0.261,0.568,76.229,4
34A2accnIDPOhkRltN8KJY,"Call me","Collection","90sFlav",2018-02-09,126250,27,sokux9999,2022-12-21T00:06:42Z,"lo-fi,lo-fi beats","VinDig",0.748,0.265,8,-12.074,0,0.229,0.952,0.917,0.0866,0.14,77.009,4
36nutPAJFggPeddyVWDFm9,"Better Days","Better Days","LAKEY INSPIRED",2017-05-15,207335,52,sokux9999,2022-12-21T00:06:51Z,"lo-fi,lo-fi beats","LAKEY INSPIRED",0.808,0.403,0,-13.878,0,0.04,0.707,0.929,0.193,0.513,131.952,4
4yA3BQO97qscRTrJoK5AzO,"Crowdpleaser","Joyride","Driver",2020-04-22,166299,0,sokux9999,2022-12-21T00:07:29Z,"lo-fi,lo-fi beats,vaporwave","608254 Records DK",0.589,0.357,7,-12.144,0,0.0995,0.333,0.0312,0.354,0.225,139.942,4
3lsh4fIbGeHZDFovC0InnY,"Swing Lynn (Slowed Version)","Swing Lynn (Slowed Version)","Harmless",2020-05-27,448000,0,sokux9999,2022-12-21T00:07:29Z,"","Harmless",0.614,0.858,8,-2.678,1,0.0305,0.0894,0.716,0.16,0.2,116.781,4
7cZlFUJO4BjedIErzdP6iq,"love","oldies","lofi.samurai",2018-07-06,81037,0,sokux9999,2022-12-21T00:07:29Z,"lo-fi","VinDig",0.864,0.482,8,-16.789,0,0.225,0.664,0.0000168,0.269,0.964,133.234,4
6RtKJK788NrWLXboGtnZbj,"Low Key Gliding","Low Key Gliding","K08beatz,Hal Walker",2020-12-27,172956,47,sokux9999,2022-12-21T00:07:29Z,"","2658664 Records DK",0.608,0.549,10,-10.5,0,0.189,0.301,0.815,0.126,0.213,114.842,4
5jSBnH9NyaNP5zdSB3pwgu,"Gimme Love","Nectar","Joji",2020-09-24,214557,0,sokux9999,2022-12-21T00:07:29Z,"","88rising Music/Warner Records",0.484,0.632,5,-6.917,1,0.0976,0.695,0.0243,0.209,0.0736,126.384,3
