Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7kMBShbwV14jpAQ0GZRB2i,"desorden del sueño","dreamcore","Ghouljaboy,Depresión Sonora",2021-11-26,146980,0,sokux9999,2022-09-13T22:03:08Z,"post-punk","BMG Rights Management and Administration (Spain) S.L.U",0.415,0.836,10,-4.479,1,0.0512,0.0183,0.0000539,0.606,0.567,179.818,4
6LwYUSaVJLdTwrziHEUSxM,"Japan","Japan","Yot Club",2019-03-28,174000,0,sokux9999,2022-09-13T22:02:07Z,"bedroom pop","Yot Club",0.667,0.73,5,-8.411,1,0.0457,0.137,0.911,0.0706,0.375,165.834,4
2VyMyqR2ona9yAFk7WsJNW,"Ya No Hay Verano","Depresión Sonora","Depresión Sonora",2020-05-08,174666,58,sokux9999,2022-09-13T22:03:26Z,"post-punk","Depresión Sonora",0.583,0.76,6,-6.616,1,0.0564,0.68,0.915,0.117,0.977,179.834,4
3M0yRNYZ3GIjHYSNPHazOh,"Gasolina y Mechero","Gasolina y Mechero","Depresión Sonora",2021-03-05,152644,53,sokux9999,2022-09-13T22:04:00Z,"post-punk","Sonido Muchacho",0.638,0.833,11,-10.535,1,0.0463,0.489,0.893,0.115,0.754,93.004,4
6P2ITQT43x0rC0yqkSaXNo,"Hasta Que Llegue la Muerte","Depresión Sonora","Depresión Sonora",2020-05-08,220462,52,sokux9999,2022-09-13T22:04:05Z,"post-punk","Depresión Sonora",0.749,0.907,1,-3.79,0,0.0543,0.704,0.878,0.171,0.98,169.978,4
4VX4DD8LXBM0apZMovdHMB,"Apocalipsis Virtual","Apocalipsis Virtual","Depresión Sonora",2021-04-22,237914,46,sokux9999,2022-09-13T22:04:14Z,"post-punk","Sonido Muchacho",0.617,0.777,1,-9.736,0,0.0439,0.465,0.84,0.107,0.921,96.513,4
648639ImUdRqgV1nzvXYQE,"Tú No Me Tienes Que Salvar","Tú No Me Tienes Que Salvar","Depresión Sonora",2020-12-10,230249,47,sokux9999,2022-09-13T22:04:18Z,"post-punk","Sonido Muchacho",0.656,0.699,11,-10.035,1,0.0228,0.87,0.907,0.114,0.752,94.5,4
0wsUq03EBFYY9SYpAXo3Wv,"Hay Que Abandonar Este Lugar","Depresión Sonora","Depresión Sonora",2020-05-08,180750,44,sokux9999,2022-09-13T22:04:36Z,"post-punk","Depresión Sonora",0.677,0.869,11,-5.657,0,0.0691,0.868,0.887,0.11,0.935,159.994,4
45Bs2kaTWFUVJQV7Cpzn2x,"Dime Que Me Odias","Depresión Sonora","Depresión Sonora",2020-05-08,208941,42,sokux9999,2022-09-13T22:04:38Z,"post-punk","Depresión Sonora",0.691,0.789,10,-5.704,1,0.103,0.665,0.891,0.0596,0.962,170.06,4
6HNBKSdmLoB6v5vszsiszt,"Generación Perdida, Diversión Prohibida","Historias Tristes para Dormir Bien","Depresión Sonora",2021-05-28,201108,48,sokux9999,2022-09-13T22:04:40Z,"post-punk","Sonido Muchacho",0.605,0.683,9,-12.341,1,0.0917,0.76,0.903,0.0807,0.965,176.014,4
