Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6AS6lW8vAo27DGEcbRT2Oj,"Adrenalina","Adrenalina","Samuraï",2022-12-15,192427,40,sokux9999,2023-01-16T08:25:48Z,"","Universal Music Spain S.L.",0.557,0.838,6,-5.722,0,0.0438,0.0568,0.0238,0.0547,0.493,174.084,4
2aLlKa3vOl3BKdeJsZq4LR,"Fuera de Tiempo","1996","InnerCut,Natalia Lacunza,Ghouljaboy",2022-03-25,174000,18,sokux9999,2023-01-16T08:27:28Z,"post-punk","Helsinkipro",0.738,0.711,4,-5.579,1,0.0642,0.00327,0.0348,0.0781,0.588,159.964,4
7e0yIo469wdyX2YYCFx0zz,"Cartón de Vino","Cartón de Vino","Bounties",2020-11-27,131178,13,sokux9999,2023-01-16T08:28:07Z,"","Luup Records",0.504,0.908,2,-4.585,1,0.198,0.14,0,0.232,0.736,165.176,4
2X485T9Z5Ly0xyaghN73ed,"Let It Happen","Currents","Tame Impala",2015-07-17,467586,75,sokux9999,2023-01-16T08:29:31Z,"indie,pop psicodélico","Universal Music Australia Pty. Ltd.",0.602,0.881,1,-5.875,0,0.0443,0.00462,0.0266,0.111,0.577,125.012,4
5B3jgv3n1KMtfGTSCrOTYg,"1996","1996","InnerCut,Juancho Marqués,Pedro LaDroga",2022-03-25,157714,17,sokux9999,2023-01-16T08:27:38Z,"cloud rap","Helsinkipro",0.729,0.742,2,-7.261,0,0.0412,0.0421,0.00000271,0.0639,0.923,139.974,4
3JUaCIDpLc2kmY86lCm3aT,"Ya no siento nada","Tiene que haber algo más","Alizzz",2021-11-26,192313,41,sokux9999,2023-01-16T08:30:09Z,"","WM Spain",0.679,0.742,9,-5.757,1,0.0321,0.012,0.0977,0.221,0.695,120.123,4
52ojopYMUzeNcudsoz7O9D,"New Person, Same Old Mistakes","Currents","Tame Impala",2015-07-17,363240,74,sokux9999,2023-01-16T08:29:34Z,"indie,pop psicodélico","Universal Music Australia Pty. Ltd.",0.47,0.809,8,-6.74,1,0.0495,0.272,0.00671,0.0491,0.49,151.836,4
4quZVoOSRZAce9BtbMKHWu,"mañaneo","LO QUE PASÓ ESE VERANO","trashi,Pedro LaDroga,InnerCut",2021-06-25,163000,24,sokux9999,2023-01-16T08:30:43Z,"cloud rap","Helsinkipro",0.662,0.973,4,-4.543,0,0.097,0.00111,0.00582,0.156,0.567,150.006,4
15I8CL9krCHIiwZvac61yl,"Tirando Balas","Tirando Balas","Samuraï",2021-05-14,173748,51,sokux9999,2023-01-16T08:32:18Z,"","samu records",0.78,0.735,1,-6.132,0,0.0361,0.0255,0,0.264,0.965,129.973,4
1DHrUYdgRoAptl0DFOCyuj,"Muchas Cosas","Tiene Que Ser Para Mí","Natalia Lacunza",2022-06-09,151786,42,sokux9999,2023-01-16T08:35:28Z,"","Universal Music Spain S.L.",0.844,0.438,8,-7.787,1,0.0328,0.0466,0.0000692,0.0795,0.566,116.974,4
