Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3HooFDzhzjBuYQZelqOjhh,"El Boogalo de los Destellos","Sicodélicos","Los Destellos",2016-08-01,149346,1,sokux9999,2023-06-26T12:21:06Z,"chicha,cumbia","Iempsa",0.762,0.782,2,-9.358,1,0.071,0.509,0.924,0.125,0.903,146.294,4
3kNVYo6BJE9AENxzokM9YC,"Muerte En Hawaii","Entren Los Que Quieran","Calle 13",2010-11-22,189866,65,sokux9999,2023-06-26T12:21:19Z,"hip hop latino,música alternativa latina,reggaetón","Sony Music Latin",0.675,0.588,3,-7.168,1,0.177,0.789,0,0.95,0.879,79.989,4
1RIhd7jjWDQwSKsbxxGArN,"Ojos Color Sol (feat. Silvio Rodríguez)","MultiViral","Calle 13,Silvio Rodríguez",2014-02-28,215813,63,sokux9999,2023-06-26T12:21:24Z,"hip hop latino,música alternativa latina,reggaetón,trova,nueva trova,cantautores,folk latino","Sony Music Latin",0.582,0.443,2,-7.816,1,0.0436,0.664,0,0.0703,0.452,78.071,4
1jlKdNbOA90rjnt88GJnwO,"La Vuelta Al Mundo","Entren Los Que Quieran","Calle 13",2010-11-22,234133,65,sokux9999,2023-06-26T12:21:32Z,"hip hop latino,música alternativa latina,reggaetón","Sony Music Latin",0.748,0.538,0,-9.943,1,0.222,0.159,0.00000162,0.167,0.779,124.974,4
6UhA9om01c39JQAT17rtQn,"Que Calor","La Lata","Supermerk2",2003-09-23,244653,50,sokux9999,2023-06-26T12:21:52Z,"cumbia,cumbia sonidera","Magenta",0.83,0.868,7,-3.78,1,0.0585,0.197,0.00000129,0.159,0.898,87.422,4
1xuYajTJZh8zZrPRmUaagf,"Latinoamérica (feat. Totó la Momposina, Susana Baca & Maria Rita)","Entren Los Que Quieran","Calle 13,Totó La Momposina,Susana Baca,Maria Rita",2010-11-22,301426,59,sokux9999,2023-06-26T12:21:35Z,"hip hop latino,música alternativa latina,reggaetón,folk latino,cumbia,chicha,nueva trova,samba,mpb,pagode,bossa nova","Sony Music Latin",0.691,0.805,2,-6.81,0,0.0947,0.59,0,0.0975,0.866,142.503,3
12rV4fh9cnftIXXmTtjhhI,"La resaka","La Lata","Supermerk2",2003-09-23,214120,51,sokux9999,2023-06-26T12:21:57Z,"cumbia,cumbia sonidera","Magenta",0.772,0.811,4,-3.664,0,0.0748,0.2,0,0.179,0.949,85.999,4
1uKjQoh8JZj9ryuYRhpd7E,"Ahora Te Puedes Marchar","Soy Como Quiero Ser","Luis Miguel",1987-07-15,191973,73,sokux9999,2023-06-26T12:22:03Z,"mariachi,bolero,pop latino","WM Mexico",0.78,0.877,6,-3.683,0,0.0427,0.148,0.00000236,0.0627,0.909,133.263,4
2d6Rpz91tksIznqw75Fdpq,"Mil Horas - 1994 Remastered Version","Los Abuelos De La Nada 1","Los Abuelos De La Nada",1995-01-01,167213,0,sokux9999,2023-06-26T12:22:05Z,"rock argentino,rock latino,rock en español","Universal Music Argentina S.A.",0.687,0.384,7,-11.457,0,0.101,0.259,0,0.0825,0.659,99.854,4
3scW7pt0vlhkCCgCNv5YR9,"La Noche Mas Linda","Sex Symbol","Adalberto Santiago",1989-01-01,343353,68,sokux9999,2023-06-26T12:22:12Z,"salsa,salsa romántica","Humacao Music",0.886,0.748,5,-9.584,1,0.0399,0.775,0.0635,0.0656,0.969,152.07,4
